protein1_name,uniprot1,protein2_name,uniprot2,Genetic_Correlation,Lower_bound_rg,Upper_bound_rg,P,FDR,Heritability_1,P_value_Heritability_1,Heritability_2,P_value_Heritability_2,combined_score,experiments,experiments_transferred,validated,exp_score
SLMAP,Q14BN4,GOPC,Q9HD26,0.936193619,0.810981098,0.99079908,8.46202838037526e-09,1.69140589041656e-05,0.004079363,1.80814214079254e-06,0.00379526,0.000438284,327,0,65,TRUE,TRUE
SLMAP,Q14BN4,MPHOSPH8,Q99549,0.95979598,0.805180518,1,2.38510832237963e-07,0.000298604,0.004079363,1.80814214079254e-06,0.002469145,0.009187582,161,0,102,TRUE,TRUE
SLMAP,Q14BN4,PDLIM5,Q96HC4,0.948594859,0.785578558,1,1.97576392564314e-07,0.000254151,0.004079363,1.80814214079254e-06,0.001972203,0,270,0,96,TRUE,TRUE
SLMAP,Q14BN4,PPIB,P23284,0.99379938,0.840384038,1,3.49653040268056e-07,0.000414392,0.004079363,1.80814214079254e-06,0.001624087,0.035166774,187,0,95,TRUE,TRUE
SLMAP,Q14BN4,PPP1R12A,O14974,0.9569957,0.823982398,1,7.4668810349385e-09,1.52566053091669e-05,0.004079363,1.80814214079254e-06,0.001807281,0.027939533,223,0,99,TRUE,TRUE
SLMAP,Q14BN4,RAB10,P61026,0.9629963,0.821982198,1,5.71393535449322e-08,8.76298479265001e-05,0.004079363,1.80814214079254e-06,0.001747374,0.006205292,184,0,45,TRUE,TRUE
SLMAP,Q14BN4,RABEP1,Q15276,0.913991399,0.746574657,0.99159916,1.59818890759614e-07,0.000212251,0.004079363,1.80814214079254e-06,0.001716104,0.029439333,404,347,0,TRUE,TRUE
SLMAP,Q14BN4,SMTN,P53814,0.933193319,0.839783978,0.97819782,7.69614108695584e-12,3.52175327063392e-08,0.004079363,1.80814214079254e-06,0.002299493,0.015653262,191,0,46,TRUE,TRUE
SLMAP,Q14BN4,STK4,Q13043,0.95739574,0.853185319,1,1.70539257030276e-10,5.55399300303207e-07,0.004079363,1.80814214079254e-06,0.004539693,0,673,619,0,TRUE,TRUE
SNX2,O60749,SNX5,Q9Y5X3,0.95539554,0.813381338,1,1.45213169300652e-08,2.69921925047824e-05,0.00376318,8.87861812825106e-23,0.007127514,8.87127848372447e-37,999,662,461,TRUE,TRUE
SORT1,Q99523,GRN,P28799,-0.627562756,-0.747374737,-0.466746675,7.85802271505209e-09,1.59159701135558e-05,0.014002265,1.44715888068248e-43,0.131294066,1.41444655497715e-80,968,480,0,TRUE,TRUE
SUMF1,Q8NBK3,SETMAR,Q53H47,0.784978498,0.616561656,0.897789779,3.19268954223402e-10,9.66832622454238e-07,0.005883878,1.3904226572116e-12,0.026888515,1.70963597639143e-43,636,0,106,TRUE,TRUE
TARBP2,Q15633,CDKN1A,P38936,1,0.869986999,1,4.10236551532083e-07,0.000474806,0.001328606,0.014220393,0.000491451,0.278906835,155,0,76,TRUE,TRUE
TARBP2,Q15633,EIF2AK2,P19525,0.876187619,0.682968297,0.9849985,2.498305378934e-07,0.000310514,0.001328606,0.014220393,0.001212448,0,844,597,0,TRUE,TRUE
TARBP2,Q15633,PRKRA,O75569,0.99779978,0.817181718,1,1.74966563890545e-07,0.000228983,0.001328606,0.014220393,0.00299511,0.000163559,994,844,0,TRUE,TRUE
TARBP2,Q15633,TRIM25,Q14258,0.9959996,0.884588459,1,4.42006889443199e-11,1.69171953972572e-07,0.001328606,0.014220393,0.001268634,0.019506432,210,0,71,TRUE,TRUE
TF,P02787,TFRC,P02786,-0.887388739,-0.99719972,-0.679967997,1.12517099496774e-07,0.000157304,0.073632424,8.6161694710351e-50,0.002185227,3.28618905819955e-06,999,986,0,TRUE,TRUE
TGFB1,P01137,LTBP3,Q9NS15,0.855585559,0.663366337,0.96359636,1.26487560732264e-07,0.000173642,0.033949582,2.77904714198406e-24,0.003563556,0.000672298,996,473,116,TRUE,TRUE
TGFBI,Q15582,MATN2,O00339,-0.816381638,-0.930993099,-0.628162816,9.10760596536371e-09,1.80583774944021e-05,0.08961793,5.35669807321973e-68,0.003418871,7.90892673432219e-16,267,0,46,TRUE,TRUE
